Intensywnoœæ L;Czas koñca fazy przejœciowej;Maksymalny czas oczekiwania;Œredni czas oczekiwania
0.076;38729;897.172;36.6289
0.076;39850;818.576;29.5609
0.076;39916;521.375;27.6914
0.076;39747;774.79;30.3974
0.076;39297;606.675;33.7165
0.076;38352;709.242;32.8137
0.076;40021;479.36;24.4609
0.076;39168;527.282;28.3765
0.076;38760;565.29;28.3294
0.076;39738;592.641;26.3413
0.079;38548;810.014;38.5936
0.079;37568;535.53;31.2285
0.079;37326;652.649;38.0356
0.079;36741;614.761;39.5818
0.079;38394;548.654;34.71
0.079;37813;795.285;28.5026
0.079;38200;841.502;35.5095
0.079;37556;573.625;37.1627
0.079;38224;740.267;33.1784
0.079;39225;768.77;40.2594
0.082;35921;773.094;35.896
0.082;36328;626.865;44.9997
0.082;36494;954.967;42.4103
0.082;35898;908.948;44.5736
0.082;36818;789.392;42.2919
0.082;36403;533.017;46.173
0.082;35783;711.979;45.3267
0.082;36748;714.422;47.3461
0.082;35707;1049.26;39.8336
0.082;36605;751.428;55.2106
0.085;35930;1147.72;64.486
0.085;35387;672.511;53.1608
0.085;33607;1302.37;49.2679
0.085;35370;1171.62;70.991
0.085;35506;784.575;55.9503
0.085;35766;691.163;51.7459
0.085;35176;626.135;49.1233
0.085;35610;858.198;51.2322
0.085;35079;692.758;49.4385
0.085;35716;836.256;56.8759
0.088;34413;1012.97;67.2122
0.088;33955;628.977;48.9953
0.088;33730;937.523;63.0846
0.088;34467;876.268;70.0335
0.088;34147;793.664;59.8429
0.088;34460;796.393;48.4603
0.088;35365;624.671;59.6163
0.088;33593;755.949;56.2606
0.088;33453;884.963;75.3698
0.088;34123;1292.84;117.425
0.091;32475;1226.95;109.262
0.091;32367;1335.92;101.63
0.091;33061;953.424;85.7127
0.091;33017;1186.21;125.256
0.091;32966;957.124;87.657
0.091;32548;2383.37;264.778
0.091;33466;1403.36;143.511
0.091;32812;1042.11;99.7046
0.091;32908;1234.53;126.596
0.091;33093;1018.1;81.4115
0.094;31626;1227.11;155.018
0.094;31106;2052.91;228.037
0.094;31490;1671.51;133.025
0.094;32550;1164.37;116.623
0.094;32999;1432.77;166.074
0.094;33037;2222.69;191.9
0.094;32250;1120.61;96.6573
0.094;31580;1381.07;162.718
0.094;32271;1634.38;154.402
0.094;32156;1631.47;162.465
0.097;30783;1946.44;214.288
0.097;31849;1173.02;135.127
0.097;30305;2144.49;462.724
0.097;30281;2710.35;424.312
0.097;30411;2461.16;262.598
0.097;30336;1656.8;210.77
0.097;31125;1417.74;152.71
0.097;29870;2675.45;322.033
0.097;30536;3011.92;564.134
0.097;31306;2224.53;396.634
0.1;30324;4414.24;593.692
0.1;29997;1419.41;162.264
0.1;30452;2374.43;455.494
0.1;30195;3115.34;573.802
0.1;30712;2438.87;446.927
0.1;30581;1442.39;221.264
0.1;30498;1880.5;276.766
0.1;30045;2408.32;444.707
0.1;29744;6238.51;1071.37
0.1;30253;5352.09;756.69
0.103;29840;5092.61;903.222
0.103;29289;5920.93;846.423
0.103;28756;6809.32;1220.81
0.103;28896;7458.3;1295.45
0.103;28433;6479.5;1187.24
0.103;29278;5873.08;1238.07
0.103;29338;7867.75;1415.17
0.103;29141;6517.36;1220.29
0.103;30077;7092.03;1213.49
0.103;29043;8838.84;1901.89
