Liczba statków po wp³yniêciu do kana³u;Œredni czas oczekiwania na wp³yniêcie
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0.257751
17;0.242589
18;0.379479
19;0.658615
20;2.2721
21;2.89609
22;3.91689
23;5.37671
24;5.85243
25;7.51879
26;7.59688
27;7.31551
28;7.05424
29;6.81099
30;6.58396
31;6.37157
32;6.94811
33;7.71447
34;7.7524
35;8.03125
36;8.08178
37;7.9262
38;7.97271
39;7.76828
40;8.31061
41;8.53571
42;8.53434
43;8.6355
44;8.67614
45;8.50545
46;8.32346
47;8.35523
48;8.18116
49;8.0142
50;7.85391
51;8.49229
52;8.32898
53;8.17183
54;8.17586
55;8.17209
56;8.02949
57;7.96898
58;8.06017
59;7.93769
60;7.80539
61;7.8368
62;7.7104
63;7.58801
64;7.50595
65;7.55095
66;7.43655
67;7.32555
68;7.21782
69;7.11322
70;7.05892
71;7.90883
72;8.30092
73;8.28318
74;8.22612
75;8.31434
76;8.47608
77;8.36941
78;8.26211
79;8.15753
80;8.05556
81;7.95611
82;7.87789
83;7.92732
84;8.08563
85;8.26694
86;8.36119
87;8.31321
88;8.21874
89;8.12639
90;8.62194
91;9.06244
92;9.10374
93;9.03497
94;8.93885
95;8.85055
96;9.54465
97;9.55919
98;9.47766
99;9.38192
100;10.1958
101;10.329
102;10.3049
103;10.3019
104;10.4791
105;10.5273
106;10.428
107;10.3305
108;10.2348
109;10.1774
110;10.8826
111;10.7846
112;12.2288
113;13.5519
114;14.3896
115;14.3774
116;14.4113
117;14.358
118;14.2363
119;14.1167
120;13.999
121;14.9722
122;15.7077
123;17.4975
124;18.9843
125;18.9241
126;18.8621
127;18.8565
128;18.7555
129;20.4607
130;20.3583
131;21.3156
132;21.1542
133;20.9951
134;20.8384
135;20.6841
136;22.0032
137;21.8426
138;21.8371
139;23.2582
140;23.1295
141;23.2096
142;25.1508
143;24.9749
144;25.2538
145;26.2194
146;26.1143
147;27.4606
148;27.5485
149;29.6584
150;29.4607
151;29.2656
152;29.0731
153;30.5114
154;32.8637
155;34.4628
156;34.3183
157;34.2389
158;34.1936
159;34.0966
160;33.9625
161;33.7531
